"","x"
"1","RT @poliscigrl: Candidates, pay your interns. Dems profess to be pro-living wage/pro-labor/pro-blue collar. GOP says people don’t want hand…"
"2","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"3","There is an office I interned and I did even more than some officers. Some actually would give me assignments they… https://t.co/cRDbT1oHpa"
"4","RT @poliscigrl: Candidates, pay your interns. Dems profess to be pro-living wage/pro-labor/pro-blue collar. GOP says people don’t want hand…"
"5","RT @poliscigrl: Candidates, pay your interns. Dems profess to be pro-living wage/pro-labor/pro-blue collar. GOP says people don’t want hand…"
"6","RT @poliscigrl: Candidates, pay your interns. Dems profess to be pro-living wage/pro-labor/pro-blue collar. GOP says people don’t want hand…"
"7","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"8","Candidates, pay your interns. Dems profess to be pro-living wage/pro-labor/pro-blue collar. GOP says people don’t w… https://t.co/eJ9VZF6DhU"
"9","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"10","@AOC Exactly, experience doesn't pay bills while doing internship. #PayInterns https://t.co/gBGPu0EvbR"
"11","#ikokazi #PayInterns https://t.co/PtLN7NakGQ"
"12","#PayInterns #PayModelsKe https://t.co/1IoJUau8bL"
"13","#payinterns https://t.co/4usL8JzX7v"
"14","RT @RookieKE: #PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
"15","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"16","RT @RookieKE: #PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
"17","RT @RookieKE: #PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
"18","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"19","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"20","#PayInterns #Kenya Experience koso koso... @HNyakio @njogukennly @deeRsquared https://t.co/G24X1ojqr7"
"21","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"22","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"23","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"24","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"25","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"26","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"27","Ahem. #payinterns #IkoKaziKE Because of the pressure that hashtag and others created, we're seeing more govt instit… https://t.co/a0TW9m7Xz9"
"28","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"29","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"30","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"31","RT @RookieKE: #PayInterns because experience doesn't pay the bills!
https://t.co/YVo1tSxeGu"
